#yyy-mm-dd hh:mm:ss latency xfertime sleeptime bytes url rc op
2017-12-10 16:39:22.072 0.001261 0.000573 0 30404 /f07e2a97-3803-4679-956d-d7b0976cd1f9 200 GET
2017-12-10 16:39:22.114 0.002013 0.002514 0 305028 /c18124d9-c75f-4ce8-a1f3-d242f2458c60 200 GET
2017-12-10 16:39:22.132 0.024726 0.042949 0 3273063 /3ac87924-70d4-4d69-9fc5-17d3a493bc72 200 GET
2017-12-10 16:39:22.180 0.029621 0.000050 0 3563 /942dcf0e-1158-4206-ac93-41fd6a3dce22 200 GET
2017-12-10 16:39:22.185 0.032175 0.000048 0 3620 /7d4b452e-7146-440f-b6b1-cdeabc830d01 200 GET
2017-12-10 16:39:22.203 0.014277 0.000403 0 38094 /9f6e0036-4389-4c8f-bac1-a727c1642223 200 GET
2017-12-10 16:39:22.280 0.001079 0.000073 0 3963 /2a32e338-0888-4fd3-9c79-362102b6cbdf 200 GET
2017-12-10 16:39:22.409 0.002398 0.002955 0 403553 /6117256b-2fb8-4f3e-8420-44dd33b5cd34 200 GET
2017-12-10 16:39:22.438 0.016361 0.003454 0 418910 /07210fcf-9823-4b2d-9f7b-c7101643f51e 200 GET
2017-12-10 16:39:22.511 0.010308 0.000116 0 4413 /55a21e67-9e7e-45ae-8be6-3931ce620969 200 GET
2017-12-10 16:39:22.533 0.001075 0.000420 0 44903 /34318b00-056b-48a3-9fa2-a79cc9c3b161 200 GET
2017-12-10 16:39:22.589 0.009191 0.000076 0 4503 /bba5351e-c912-4506-b3d4-44eba0a522e9 200 GET
2017-12-10 16:39:22.676 0.001062 0.000104 0 4590 /4762efd0-34b7-4a38-968d-f9a5e9b95ffe 200 GET
2017-12-10 16:39:22.685 0.001914 0.003872 0 462300 /82f5598e-346d-47e6-9a60-7a88aa5f3d80 200 GET
2017-12-10 16:39:22.829 0.001255 0.000082 0 4717 /99e0fccb-e5a3-4c90-851a-939f3da3c1fc 200 GET
2017-12-10 16:39:22.840 0.015335 0.004378 0 484007 /56d54883-b1d4-46b0-86b3-0e2bd241f732 200 GET
2017-12-10 16:39:22.850 0.009904 0.000084 0 4995 /01d2324c-b481-4a8f-913e-3f3330a81f11 200 GET
2017-12-10 16:39:22.851 0.017810 0.000047 0 5033 /e7e76d5e-294d-49c4-9da6-bf89cb7022b6 200 GET
2017-12-10 16:39:22.852 0.016901 0.000075 0 5068 /97453b0e-b520-4e1d-9326-7ee1b8c648ad 200 GET
2017-12-10 16:39:22.934 0.000756 0.000290 0 5068 /97453b0e-b520-4e1d-9326-7ee1b8c648ad 200 GET
2017-12-10 16:39:23.072 0.014810 0.000619 0 50950 /02f37e7a-1d31-4f3a-a3b3-b277e44ccb95 200 GET
2017-12-10 16:39:23.114 0.002173 0.006852 0 548057 /8b33e94e-c4d3-4b19-9044-b031fad94007 200 GET
2017-12-10 16:39:23.132 0.001136 0.000088 0 5491 /7d347959-5f42-4516-a04b-463e9e0f0c86 200 GET
2017-12-10 16:39:23.180 0.001332 0.000122 0 5494 /f0b6f187-dc0f-48c4-a8b3-43f3a33ab014 200 GET
2017-12-10 16:39:23.183 0.012728 0.000066 0 5504 /82303fd5-4cc2-45f6-a91b-207051011b0b 200 GET
2017-12-10 16:39:23.203 0.001050 0.000068 0 5600 /a53acc07-b835-4338-bd44-093cb161029d 200 GET
2017-12-10 16:39:23.280 0.001068 0.000143 0 5722 /5abf553e-f941-4030-8e40-18688d9c67e0 200 GET
2017-12-10 16:39:23.409 0.000919 0.000060 0 5809 /d50183bc-9b19-4361-884e-95d588ada09b 200 GET
2017-12-10 16:39:23.438 0.000898 0.000059 0 5836 /2abee577-b6aa-4589-8f32-3ae6fb221383 200 GET
2017-12-10 16:39:23.511 0.001084 0.000109 0 5857 /ad3e85cd-609c-4f3b-9af9-c3b232c171f8 200 GET
2017-12-10 16:39:23.534 0.001032 0.000072 0 5946 /abb0fb14-e51e-46f4-93fc-55b6f6512be2 200 GET
2017-12-10 16:39:23.589 0.000901 0.000103 0 5948 /312d6dc1-1ae8-4476-9910-7f022efbc34f 200 GET
